Model,Accuracy,Precision,Recall,F1_Score
Logistic Regression,0.5412371134020618,0.5492307692307692,0.85,0.6672897196261682
Random Forest,0.4845360824742268,0.5980392156862745,0.14523809523809525,0.23371647509578544
Gradient Boosting,0.5425257731958762,0.5831202046035806,0.5428571428571428,0.562268803945746
