Date,NIFTY_Close,NIFTY_High,NIFTY_Low,NIFTY_Open,Volume,Gold,Oil,USD_INR,India_VIX
2010-01-04,5232.2001953125,5238.4501953125,5167.10009765625,5200.89990234375,0,1117.699951171875,81.51000213623047,46.28799819946289,23.63999938964844
2010-01-05,5277.89990234375,5288.35009765625,5242.39990234375,5277.14990234375,0,1118.0999755859375,81.7699966430664,46.119998931884766,22.270000457763672
2010-01-06,5281.7998046875,5310.85009765625,5260.0498046875,5278.14990234375,0,1135.9000244140625,83.18000030517578,45.720001220703125,22.1200008392334
2010-01-07,5263.10009765625,5302.5498046875,5244.75,5281.7998046875,0,1133.0999755859375,82.66000366210938,45.6879997253418,22.5
2010-01-08,5244.75,5276.75,5234.7001953125,5264.25,0,1138.199951171875,82.75,45.51800155639648,22.56999969482422
2010-01-11,5249.39990234375,5287.2001953125,5227.7998046875,5263.7998046875,0,1150.699951171875,82.5199966430664,45.358001708984375,22.68000030517578
2010-01-12,5210.39990234375,5300.5,5200.9501953125,5251.10009765625,0,1128.9000244140625,80.79000091552734,45.61800003051758,23.07999992370605
2010-01-13,5233.9501953125,5239.2001953125,5169.5498046875,5212.60009765625,0,1136.4000244140625,79.6500015258789,45.48799896240234,21.989999771118164
2010-01-14,5259.89990234375,5272.85009765625,5232.5,5234.5,0,1142.5999755859375,79.38999938964844,45.5629997253418,20.979999542236328
2010-01-15,5252.2001953125,5279.85009765625,5242.4501953125,5259.89990234375,0,1130.0999755859375,78.0,45.803001403808594,21.07999992370605
2010-01-18,5274.85009765625,5292.5,5228.9501953125,5253.64990234375,0,1130.0999755859375,78.0,45.63800048828125,21.549999237060547
2010-01-19,5225.64990234375,5287.7998046875,5218.64990234375,5274.2001953125,0,1139.699951171875,79.0199966430664,45.84799957275391,22.34000015258789
2010-01-20,5221.7001953125,5256.7001953125,5201.39990234375,5226.10009765625,0,1112.300048828125,77.62000274658203,46.11800003051758,22.290000915527344
2010-01-21,5094.14990234375,5220.35009765625,5085.4501953125,5220.2001953125,0,1102.699951171875,76.08000183105469,46.108001708984375,23.5
2010-01-22,5036.0,5094.14990234375,4954.85009765625,5094.14990234375,0,1089.199951171875,74.54000091552734,46.22299957275391,24.850000381469727
2010-01-25,5007.89990234375,5035.7001953125,4983.0498046875,5034.5498046875,0,1095.199951171875,75.26000213623047,46.07799911499024,25.81999969482422
2010-01-27,4853.10009765625,5008.5,4833.0498046875,5008.5,0,1084.4000244140625,73.66999816894531,46.31800079345703,28.920000076293945
2010-01-28,4867.25,4929.89990234375,4824.9501953125,4863.0,0,1083.5999755859375,73.63999938964844,46.34799957275391,26.959999084472656
2010-01-29,4882.0498046875,4893.7001953125,4766.0,4866.14990234375,0,1083.0,72.88999938964844,46.09799957275391,26.1299991607666
2010-02-01,4899.7001953125,4918.7998046875,4827.14990234375,4882.0498046875,0,1104.300048828125,74.43000030517578,46.28799819946289,25.61000061035156
2010-02-02,4830.10009765625,4951.14990234375,4814.10009765625,4907.85009765625,0,1117.4000244140625,77.2300033569336,46.09999847412109,26.690000534057617
2010-02-03,4931.85009765625,4949.14990234375,4831.0,4831.0,0,1111.4000244140625,76.9800033569336,45.900001525878906,25.540000915527344
2010-02-04,4845.35009765625,4931.2998046875,4832.35009765625,4931.2998046875,0,1062.4000244140625,73.13999938964844,46.209999084472656,27.06999969482422
2010-02-05,4718.64990234375,4827.0,4692.35009765625,4819.64990234375,0,1052.199951171875,71.19000244140625,46.619998931884766,30.06999969482422
2010-02-08,4760.39990234375,4799.0498046875,4675.39990234375,4755.35009765625,0,1065.699951171875,71.88999938964844,46.709999084472656,30.36000061035156
2010-02-09,4792.64990234375,4810.39990234375,4739.35009765625,4760.5498046875,0,1076.699951171875,73.75,46.38999938964844,29.90999984741211
2010-02-10,4757.2001953125,4826.85009765625,4748.10009765625,4793.0,0,1075.800048828125,74.5199966430664,46.37799835205078,30.549999237060547
2010-02-11,4826.85009765625,4843.7998046875,4757.25,4757.25,0,1094.199951171875,75.27999877929688,46.400001525878906,28.809999465942383
2010-02-15,4801.9501953125,4845.60009765625,4783.89990234375,4827.89990234375,0,1094.199951171875,75.27999877929688,46.3380012512207,29.68000030517578
2010-02-16,4855.75,4880.0,4791.35009765625,4801.7998046875,0,1119.300048828125,77.01000213623047,45.97999954223633,28.729999542236328
2010-02-17,4914.0,4929.7001953125,4857.60009765625,4858.64990234375,0,1119.5,77.33000183105469,46.007999420166016,29.040000915527344
2010-02-18,4887.75,4922.0498046875,4873.7001953125,4915.10009765625,0,1118.0,79.05999755859375,46.13999938964844,29.76000022888184
2010-02-19,4844.89990234375,4887.2998046875,4805.5498046875,4887.2998046875,0,1121.300048828125,79.80999755859375,46.18000030517578,31.899999618530277
2010-02-22,4856.39990234375,4912.0498046875,4845.89990234375,4849.35009765625,0,1112.5999755859375,80.16000366210938,46.09999847412109,32.130001068115234
2010-02-23,4870.0498046875,4884.10009765625,4833.14990234375,4856.60009765625,0,1102.699951171875,78.86000061035156,46.26800155639648,30.989999771118164
2010-02-24,4858.60009765625,4880.5498046875,4834.64990234375,4869.5498046875,0,1096.5,80.0,46.28799819946289,30.399999618530277
2010-02-25,4859.75,4880.14990234375,4835.60009765625,4859.0,0,1107.800048828125,78.16999816894531,46.29999923706055,29.549999237060547
2010-02-26,4922.2998046875,4992.0,4858.4501953125,4858.5,0,1118.300048828125,79.66000366210938,45.900001525878906,24.020000457763672
2010-03-02,5017.0,5029.4501953125,4935.35009765625,4935.60009765625,0,1136.9000244140625,79.68000030517578,46.02799987792969,21.6299991607666
2010-03-03,5088.10009765625,5093.25,5015.10009765625,5015.7998046875,0,1142.699951171875,80.87000274658203,45.54999923706055,20.75
2010-03-04,5080.25,5096.9501953125,5049.0,5096.9501953125,0,1132.5999755859375,80.20999908447266,45.66999816894531,20.979999542236328
2010-03-05,5088.7001953125,5118.64990234375,5068.0498046875,5080.5498046875,0,1134.800048828125,81.5,45.45000076293945,20.739999771118164
2010-03-08,5124.0,5147.10009765625,5092.14990234375,5092.14990234375,0,1123.5999755859375,81.87000274658203,45.400001525878906,20.729999542236328
2010-03-09,5101.5,5131.7998046875,5094.35009765625,5121.0498046875,0,1122.0,81.48999786376953,45.54999923706055,20.799999237060547
2010-03-10,5116.25,5137.39990234375,5092.0498046875,5101.60009765625,0,1107.800048828125,82.08999633789062,45.310001373291016,20.09000015258789
2010-03-11,5133.39990234375,5152.60009765625,5102.10009765625,5116.35009765625,0,1108.0,82.11000061035156,45.45000076293945,20.13999938964844
2010-03-12,5137.0,5158.10009765625,5122.10009765625,5131.7998046875,0,1101.5,81.23999786376953,45.49800109863281,19.729999542236328
2010-03-15,5128.89990234375,5151.0498046875,5101.2001953125,5134.4501953125,0,1105.0999755859375,79.80000305175781,45.55799865722656,20.26000022888184
2010-03-16,5198.10009765625,5209.25,5125.7001953125,5128.9501953125,0,1122.199951171875,81.69999694824219,45.38999938964844,19.59000015258789
2010-03-17,5231.89990234375,5260.5,5177.14990234375,5198.4501953125,0,1124.0,82.93000030517578,45.27999877929688,17.729999542236328
2010-03-18,5245.89990234375,5255.64990234375,5214.39990234375,5232.5498046875,0,1127.4000244140625,82.19999694824219,45.38999938964844,17.969999313354492
2010-03-19,5262.7998046875,5269.9501953125,5237.10009765625,5246.7998046875,0,1107.4000244140625,80.68000030517578,45.25,17.75
2010-03-22,5205.2001953125,5260.9501953125,5187.0498046875,5260.9501953125,0,1099.300048828125,81.25,45.470001220703125,19.959999084472656
2010-03-23,5225.2998046875,5243.60009765625,5193.39990234375,5205.85009765625,0,1103.5,81.91000366210938,45.400001525878906,18.1299991607666
2010-03-25,5260.39990234375,5267.2998046875,5202.9501953125,5225.2998046875,0,1092.699951171875,80.52999877929688,45.48799896240234,17.049999237060547
2010-03-26,5282.0,5293.75,5260.5498046875,5260.5498046875,0,1104.199951171875,80.0,45.11000061035156,17.889999389648438
2010-03-29,5302.85009765625,5329.5498046875,5242.14990234375,5283.89990234375,0,1110.300048828125,82.16999816894531,44.79999923706055,18.729999542236328
2010-03-30,5262.4501953125,5325.0,5251.35009765625,5302.9501953125,0,1104.5,82.37000274658203,44.93999862670898,19.799999237060547
2010-03-31,5249.10009765625,5293.89990234375,5235.14990234375,5260.39990234375,0,1113.300048828125,83.76000213623047,44.79999923706055,19.8700008392334
2010-04-01,5290.5,5298.60009765625,5249.2001953125,5249.2001953125,0,1125.0999755859375,84.87000274658203,44.59999847412109,17.6200008392334
